time="2022-02-27T08:07:33+08:00" level=info msg="Mixed(http+socks) proxy listening at: [::]:1080"
time="2022-02-27T08:07:33+08:00" level=info msg="RESTful API listening at: 127.0.0.1:46321"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34666 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34668 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34670 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34672 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34674 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34678 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34680 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34684 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34682 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34688 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34690 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34692 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34694 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34698 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34696 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34700 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34702 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34704 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34706 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34710 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34708 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34712 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34714 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34716 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34720 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34722 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34724 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34728 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34730 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34732 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:19+08:00" level=info msg="[TCP] 127.0.0.1:34658 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:19+08:00" level=info msg="[TCP] 127.0.0.1:34718 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:19+08:00" level=info msg="[TCP] 127.0.0.1:34726 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:21+08:00" level=info msg="[TCP] 127.0.0.1:34738 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:21+08:00" level=info msg="[TCP] 127.0.0.1:34740 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:21+08:00" level=info msg="[TCP] 127.0.0.1:34742 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:21+08:00" level=info msg="[TCP] 127.0.0.1:34744 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:21+08:00" level=info msg="[TCP] 127.0.0.1:34746 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:21+08:00" level=info msg="[TCP] 127.0.0.1:34748 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:21+08:00" level=info msg="[TCP] 127.0.0.1:34750 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:22+08:00" level=info msg="[TCP] 127.0.0.1:34734 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:22+08:00" level=info msg="[TCP] 127.0.0.1:34752 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:22+08:00" level=info msg="[TCP] 127.0.0.1:34736 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:22+08:00" level=info msg="[TCP] 127.0.0.1:34754 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:22+08:00" level=info msg="[TCP] 127.0.0.1:34758 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:23+08:00" level=info msg="[TCP] 127.0.0.1:34756 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:24+08:00" level=info msg="[TCP] 127.0.0.1:34768 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:24+08:00" level=info msg="[TCP] 127.0.0.1:34770 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:24+08:00" level=info msg="[TCP] 127.0.0.1:34772 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:24+08:00" level=info msg="[TCP] 127.0.0.1:34764 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:24+08:00" level=info msg="[TCP] 127.0.0.1:34774 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:25+08:00" level=info msg="[TCP] 127.0.0.1:34778 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:25+08:00" level=info msg="[TCP] 127.0.0.1:34780 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:26+08:00" level=info msg="[TCP] 127.0.0.1:34762 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:26+08:00" level=info msg="[TCP] 127.0.0.1:34782 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:26+08:00" level=info msg="[TCP] 127.0.0.1:34784 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:26+08:00" level=info msg="[TCP] 127.0.0.1:34786 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:27+08:00" level=info msg="[TCP] 127.0.0.1:34788 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:27+08:00" level=info msg="[TCP] 127.0.0.1:34790 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:28+08:00" level=info msg="[TCP] 127.0.0.1:34776 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:29+08:00" level=info msg="[TCP] 127.0.0.1:34792 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:30+08:00" level=info msg="[TCP] 127.0.0.1:34794 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:31+08:00" level=info msg="[TCP] 127.0.0.1:34796 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:31+08:00" level=info msg="[TCP] 127.0.0.1:34798 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:43+08:00" level=info msg="[TCP] 127.0.0.1:34800 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:43+08:00" level=info msg="[TCP] 127.0.0.1:34808 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:43+08:00" level=info msg="[TCP] 127.0.0.1:34804 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:43+08:00" level=info msg="[TCP] 127.0.0.1:34812 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:43+08:00" level=info msg="[TCP] 127.0.0.1:34816 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:43+08:00" level=info msg="[TCP] 127.0.0.1:34818 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:43+08:00" level=info msg="[TCP] 127.0.0.1:34822 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:43+08:00" level=info msg="[TCP] 127.0.0.1:34824 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:43+08:00" level=info msg="[TCP] 127.0.0.1:34826 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:43+08:00" level=info msg="[TCP] 127.0.0.1:34830 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:43+08:00" level=info msg="[TCP] 127.0.0.1:34834 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:43+08:00" level=info msg="[TCP] 127.0.0.1:34832 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:43+08:00" level=info msg="[TCP] 127.0.0.1:34836 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:43+08:00" level=info msg="[TCP] 127.0.0.1:34838 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:43+08:00" level=info msg="[TCP] 127.0.0.1:34842 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:43+08:00" level=info msg="[TCP] 127.0.0.1:34844 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:43+08:00" level=info msg="[TCP] 127.0.0.1:34846 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:43+08:00" level=info msg="[TCP] 127.0.0.1:34852 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:43+08:00" level=info msg="[TCP] 127.0.0.1:34848 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:43+08:00" level=info msg="[TCP] 127.0.0.1:34856 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:43+08:00" level=info msg="[TCP] 127.0.0.1:34858 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:43+08:00" level=info msg="[TCP] 127.0.0.1:34864 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:43+08:00" level=info msg="[TCP] 127.0.0.1:34866 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:43+08:00" level=info msg="[TCP] 127.0.0.1:34868 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:43+08:00" level=info msg="[TCP] 127.0.0.1:34870 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:43+08:00" level=info msg="[TCP] 127.0.0.1:34874 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:43+08:00" level=info msg="[TCP] 127.0.0.1:34876 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:44+08:00" level=info msg="[TCP] 127.0.0.1:34802 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:44+08:00" level=info msg="[TCP] 127.0.0.1:34810 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:44+08:00" level=info msg="[TCP] 127.0.0.1:34806 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:44+08:00" level=info msg="[TCP] 127.0.0.1:34814 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:44+08:00" level=info msg="[TCP] 127.0.0.1:34820 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:44+08:00" level=info msg="[TCP] 127.0.0.1:34828 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:44+08:00" level=info msg="[TCP] 127.0.0.1:34854 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:44+08:00" level=info msg="[TCP] 127.0.0.1:34878 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:45+08:00" level=info msg="[TCP] 127.0.0.1:34882 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:45+08:00" level=info msg="[TCP] 127.0.0.1:34884 --> github.com:443 using GLOBAL"
